Analysis Date,Symbol,Pattern,Intraday Probability %,Final Bias,Entry Price,Stop Loss,Target,Actual Close,Outcome,Points,Accuracy
2026-07-23,ADANIPOWER,Short Buildup,20,SELL,216.05,211.729,224.692,,PENDING,,0
2026-07-23,BPCL,Short Buildup,20,SELL,317.35,311.00300000000004,330.04400000000004,,PENDING,,0
2026-07-23,ZYDUSLIFE,Short Buildup,20,SELL,1118.2,1095.836,1162.928,,PENDING,,0
2026-07-23,GRASIM,Short Buildup,20,SELL,3163.0,3099.74,3289.52,,PENDING,,0
2026-07-23,BANDHANBNK,Short Buildup,20,SELL,172.67,169.21659999999997,179.5768,,PENDING,,0
2026-07-23,COALINDIA,Short Buildup,20,SELL,429.05,420.469,446.2120000000001,,PENDING,,0
2026-07-23,SRF,Short Buildup,20,SELL,2845.0,2788.1,2958.8,,PENDING,,0
2026-07-23,MANKIND,Short Buildup,20,SELL,2545.1,2494.198,2646.904,,PENDING,,0
2026-07-23,NMDC,Short Buildup,20,SELL,83.6,81.928,86.944,,PENDING,,0
2026-07-23,BLUESTARCO,Short Buildup,20,SELL,1650.8,1617.784,1716.832,,PENDING,,0
2026-07-23,ICICIPRULI,Short Buildup,20,SELL,495.8,485.884,515.6320000000001,,PENDING,,0
2026-07-23,VMM,Short Buildup,20,SELL,111.39,109.1622,115.8456,,PENDING,,0
2026-07-23,NBCC,Short Buildup,20,SELL,94.58,92.6884,98.3632,,PENDING,,0
2026-07-23,CONCOR,Short Buildup,20,SELL,480.75,471.135,499.98,,PENDING,,0
2026-07-23,MAXHEALTH,Short Buildup,20,SELL,1081.2,1059.576,1124.448,,PENDING,,0
2026-07-23,HINDALCO,Short Buildup,20,SELL,951.0,931.98,989.04,,PENDING,,0
2026-07-23,PREMIERENE,Short Buildup,20,SELL,1009.9,989.702,1050.296,,PENDING,,0
2026-07-23,NYKAA,Short Buildup,20,SELL,326.15,319.62699999999995,339.196,,PENDING,,0
2026-07-23,OFSS,Short Buildup,20,SELL,10944.0,10725.12,11381.76,,PENDING,,0
2026-07-23,SUNPHARMA,Short Buildup,20,SELL,1937.4,1898.652,2014.896,,PENDING,,0
2026-07-23,ALKEM,Short Buildup,20,SELL,5570.0,5458.599999999999,5792.8,,PENDING,,0
2026-07-23,DRREDDY,Short Buildup,20,SELL,1185.9,1162.182,1233.3360000000002,,PENDING,,0
2026-07-23,CROMPTON,Short Buildup,20,SELL,252.1,247.058,262.184,,PENDING,,0
2026-07-23,ADANIENT,Short Buildup,20,SELL,3143.9,3081.022,3269.6560000000004,,PENDING,,0
2026-07-23,BIOCON,Short Buildup,20,SELL,435.4,426.692,452.816,,PENDING,,0
2026-07-23,PGEL,Short Buildup,20,SELL,573.8,562.324,596.752,,PENDING,,0
2026-07-23,JSWENERGY,Short Buildup,20,SELL,561.0,549.78,583.44,,PENDING,,0
2026-07-23,FORTIS,Short Buildup,20,SELL,945.8,926.884,983.632,,PENDING,,0
2026-07-23,LUPIN,Short Buildup,20,SELL,2412.5,2364.25,2509.0,,PENDING,,0
2026-07-23,MOTILALOFS,Short Buildup,20,SELL,941.2,922.376,978.848,,PENDING,,0
2026-07-23,360ONE,Short Buildup,20,SELL,1091.7,1069.866,1135.3680000000002,,PENDING,,0
2026-07-23,NAM-INDIA,Short Buildup,20,SELL,1141.6,1118.7679999999998,1187.264,,PENDING,,0
2026-07-23,TIINDIA,Short Buildup,20,SELL,2897.5,2839.55,3013.4,,PENDING,,0
2026-07-23,INDIGO,Short Buildup,20,SELL,5097.5,4995.55,5301.400000000001,,PENDING,,0
2026-07-23,PERSISTENT,Short Buildup,20,SELL,5078.6,4977.028,5281.744000000001,,PENDING,,0
2026-07-23,INDHOTEL,Short Buildup,20,SELL,723.0,708.54,751.9200000000001,,PENDING,,0
2026-07-23,LT,Short Buildup,20,SELL,3820.7,3744.286,3973.528,,PENDING,,0
2026-07-23,SWIGGY,Short Buildup,20,SELL,264.18,258.8964,274.7472,,PENDING,,0
2026-07-23,CUMMINSIND,Short Buildup,20,SELL,5583.0,5471.34,5806.320000000001,,PENDING,,0
2026-07-23,ADANIGREEN,Short Buildup,20,SELL,1478.1,1448.5379999999998,1537.224,,PENDING,,0
2026-07-23,GLENMARK,Short Buildup,20,SELL,2200.4,2156.392,2288.416,,PENDING,,0
2026-07-23,COCHINSHIP,Short Buildup,20,SELL,1368.0,1340.64,1422.72,,PENDING,,0
2026-07-23,SENSEX,Short Buildup,20,SELL,76800.0,75264.0,79872.0,,PENDING,,0
2026-07-23,ETERNAL,Short Buildup,20,SELL,285.35,279.64300000000003,296.764,,PENDING,,0
2026-07-23,NAUKRI,Short Buildup,20,SELL,1184.5,1160.81,1231.88,,PENDING,,0
2026-07-23,PATANJALI,Short Buildup,20,SELL,336.1,329.37800000000004,349.54400000000004,,PENDING,,0
2026-07-23,INDUSTOWER,Short Buildup,20,SELL,394.65,386.757,410.436,,PENDING,,0
2026-07-23,PAGEIND,Short Buildup,20,SELL,39730.0,38935.4,41319.2,,PENDING,,0
2026-07-23,KPITTECH,Short Buildup,20,SELL,554.85,543.753,577.0440000000001,,PENDING,,0
2026-07-23,TORNTPHARM,Short Buildup,20,SELL,5009.1,4908.918000000001,5209.464000000001,,PENDING,,0
2026-07-23,DABUR,Short Buildup,20,SELL,425.8,417.284,442.8320000000001,,PENDING,,0
2026-07-23,AMBUJACEM,Short Buildup,20,SELL,430.05,421.449,447.252,,PENDING,,0
2026-07-23,ADANIENSOL,Short Buildup,20,SELL,1716.4,1682.072,1785.0560000000005,,PENDING,,0
2026-07-23,PAYTM,Short Buildup,20,SELL,1269.0,1243.62,1319.76,,PENDING,,0
2026-07-23,BAJAJFINSV,Short Buildup,20,SELL,1873.8,1836.324,1948.752,,PENDING,,0
2026-07-23,HYUNDAI,Short Buildup,20,SELL,1948.4,1909.432,2026.336,,PENDING,,0
2026-07-23,SHREECEM,Short Buildup,20,SELL,26640.0,26107.2,27705.6,,PENDING,,0
2026-07-23,FORCEMOT,Short Buildup,20,SELL,17295.0,16949.1,17986.8,,PENDING,,0
2026-07-23,CHOLAFIN,Short Buildup,20,SELL,1727.4,1692.852,1796.496,,PENDING,,0
2026-07-23,JIOFIN,Short Buildup,20,SELL,234.11,229.4278,243.47440000000003,,PENDING,,0
2026-07-23,ABCAPITAL,Short Buildup,20,SELL,401.65,393.617,417.716,,PENDING,,0
2026-07-23,VBL,Short Buildup,20,SELL,457.5,448.35,475.8,,PENDING,,0
2026-07-23,GODFRYPHLP,Short Buildup,20,SELL,2072.7,2031.246,2155.608,,PENDING,,0
2026-07-23,BEL,Short Buildup,20,SELL,406.75,398.615,423.02,,PENDING,,0
2026-07-23,BAJFINANCE,Short Buildup,20,SELL,1058.9,1037.722,1101.256,,PENDING,,0
2026-07-23,FEDERALBNK,Short Buildup,20,SELL,353.2,346.136,367.328,,PENDING,,0
2026-07-23,APOLLOHOSP,Short Buildup,20,SELL,8911.5,8733.27,9267.96,,PENDING,,0
2026-07-23,LTM,Short Buildup,20,SELL,3980.2,3900.596,4139.408,,PENDING,,0
2026-07-23,AMBER,Short Buildup,20,SELL,7456.0,7306.88,7754.240000000001,,PENDING,,0
2026-07-23,FINNIFTY,Short Buildup,20,SELL,26198.1,25674.138,27246.024,,PENDING,,0
2026-07-23,IRFC,Short Buildup,20,SELL,87.0,85.26,90.48,,PENDING,,0
2026-07-23,TECHM,Short Buildup,20,SELL,1559.8,1528.6039999999998,1622.192,,PENDING,,0
2026-07-23,NIFTY,Short Buildup,20,SELL,23974.0,23494.52,24932.96,,PENDING,,0
2026-07-23,HEROMOTOCO,Short Buildup,20,SELL,4918.2,4819.835999999999,5114.928,,PENDING,,0
2026-07-23,GODREJPROP,Short Buildup,20,SELL,2075.7,2034.186,2158.728,,PENDING,,0
2026-07-23,HDFCBANK,Short Buildup,20,SELL,753.9,738.822,784.056,,PENDING,,0
2026-07-23,MFSL,Short Buildup,20,SELL,1513.9,1483.622,1574.456,,PENDING,,0
2026-07-23,IDFCFIRSTB,Short Buildup,20,SELL,80.77,79.15459999999999,84.0008,,PENDING,,0
2026-07-23,HINDPETRO,Short Buildup,20,SELL,396.1,388.178,411.944,,PENDING,,0
2026-07-23,DIXON,Short Buildup,20,SELL,13772.0,13496.56,14322.88,,PENDING,,0
2026-07-23,GVT&D,Short Buildup,20,SELL,4482.0,4392.36,4661.28,,PENDING,,0
2026-07-23,KOTAKBANK,Short Buildup,20,SELL,380.2,372.596,395.408,,PENDING,,0
2026-07-23,HDFCLIFE,Short Buildup,20,SELL,551.45,540.421,573.508,,PENDING,,0
2026-07-23,INDIANB,Short Buildup,20,SELL,826.45,809.921,859.508,,PENDING,,0
2026-07-23,AUBANK,Short Buildup,20,SELL,981.8,962.164,1021.072,,PENDING,,0
2026-07-23,PNBHOUSING,Short Buildup,20,SELL,1082.9,1061.242,1126.216,,PENDING,,0
2026-07-23,AUROPHARMA,Short Buildup,20,SELL,1526.6,1496.068,1587.664,,PENDING,,0
2026-07-23,HAL,Short Buildup,20,SELL,4557.6,4466.448,4739.904,,PENDING,,0
2026-07-23,CIPLA,Short Buildup,20,SELL,1411.0,1382.78,1467.44,,PENDING,,0
2026-07-23,BDL,Short Buildup,20,SELL,1239.9,1215.102,1289.496,,PENDING,,0
2026-07-23,M&M,Short Buildup,20,SELL,3169.5,3106.11,3296.28,,PENDING,,0
2026-07-23,BAJAJHLDNG,Short Buildup,20,SELL,10439.0,10230.22,10856.56,,PENDING,,0
2026-07-23,EICHERMOT,Short Buildup,20,SELL,7614.5,7462.21,7919.08,,PENDING,,0
2026-07-23,UNOMINDA,Short Buildup,20,SELL,1128.7,1106.126,1173.8480000000002,,PENDING,,0
2026-07-23,DALBHARAT,Short Buildup,20,SELL,1858.7,1821.526,1933.048,,PENDING,,0
2026-07-23,ASHOKLEY,Short Buildup,20,SELL,152.42,149.37159999999997,158.5168,,PENDING,,0
2026-07-23,SHRIRAMFIN,Short Buildup,20,SELL,1055.0,1033.9,1097.2,,PENDING,,0
2026-07-23,OBEROIRLTY,Short Buildup,20,SELL,1837.8,1801.044,1911.312,,PENDING,,0
2026-07-23,ADANIPORTS,Short Buildup,20,SELL,1818.5,1782.13,1891.24,,PENDING,,0
2026-07-23,TATAPOWER,Short Buildup,20,SELL,378.15,370.587,393.276,,PENDING,,0
2026-07-23,CANBK,Short Buildup,20,SELL,126.66,124.1268,131.7264,,PENDING,,0
2026-07-23,CDSL,Short Buildup,20,SELL,1337.0,1310.26,1390.48,,PENDING,,0
2026-07-23,NATIONALUM,Short Buildup,20,SELL,341.55,334.719,355.21200000000005,,PENDING,,0
2026-07-23,UPL,Short Buildup,20,SELL,608.8,596.6239999999999,633.1519999999999,,PENDING,,0
2026-07-23,RVNL,Short Buildup,20,SELL,223.28,218.8144,232.2112,,PENDING,,0
2026-07-23,RELIANCE,Short Buildup,20,SELL,1292.1,1266.2579999999998,1343.784,,PENDING,,0
2026-07-23,GAIL,Short Buildup,20,SELL,172.63,169.1774,179.5352,,PENDING,,0
2026-07-23,BANKINDIA,Short Buildup,20,SELL,144.01,141.1298,149.7704,,PENDING,,0
2026-07-23,AXISBANK,Short Buildup,20,SELL,1240.0,1215.2,1289.6,,PENDING,,0
2026-07-23,IOC,Short Buildup,20,SELL,142.37,139.5226,148.06480000000002,,PENDING,,0
2026-07-23,POLICYBZR,Short Buildup,20,SELL,1551.0,1519.98,1613.04,,PENDING,,0
2026-07-23,MAZDOCK,Short Buildup,20,SELL,2300.8,2254.784,2392.8320000000003,,PENDING,,0
2026-07-23,ASIANPAINT,Short Buildup,20,SELL,2683.6,2629.928,2790.944,,PENDING,,0
2026-07-23,PNB,Short Buildup,20,SELL,110.69,108.4762,115.1176,,PENDING,,0
2026-07-23,CGPOWER,Short Buildup,20,SELL,911.25,893.025,947.7,,PENDING,,0
2026-07-23,MARUTI,Short Buildup,20,SELL,13554.0,13282.92,14096.16,,PENDING,,0
2026-07-23,SBILIFE,Short Buildup,20,SELL,1801.4,1765.372,1873.456,,PENDING,,0
2026-07-23,LICHSGFIN,Short Buildup,20,SELL,538.0,527.24,559.52,,PENDING,,0
2026-07-23,ICICIBANK,Short Buildup,20,SELL,1443.1,1414.2379999999998,1500.824,,PENDING,,0
2026-07-23,VEDL,Short Buildup,20,SELL,262.6,257.348,273.10400000000004,,PENDING,,0
2026-07-23,COFORGE,Short Buildup,20,SELL,1474.1,1444.618,1533.064,,PENDING,,0
2026-07-23,PFC,Short Buildup,20,SELL,413.3,405.034,429.8320000000001,,PENDING,,0
2026-07-23,ULTRACEMCO,Short Buildup,20,SELL,11883.0,11645.34,12358.32,,PENDING,,0
2026-07-23,BANKBARODA,Short Buildup,20,SELL,245.55,240.639,255.372,,PENDING,,0
2026-07-23,NIFTYNXT50,Short Buildup,20,SELL,72130.0,70687.4,75015.2,,PENDING,,0
2026-07-23,TATASTEEL,Short Buildup,20,SELL,186.37,182.6426,193.8248,,PENDING,,0
2026-07-23,HDFCAMC,Short Buildup,20,SELL,2540.0,2489.2,2641.6,,PENDING,,0
2026-07-23,SBIN,Short Buildup,20,SELL,1023.4,1002.932,1064.336,,PENDING,,0
2026-07-23,PRESTIGE,Long Unwinding,15,SELL,1658.0,1624.84,1724.3200000000002,,PENDING,,0
2026-07-23,FOCIT,Long Unwinding,15,SELL,34482.0,33792.36,35861.28,,PENDING,,0
2026-07-23,GMRAIRPORT,Long Unwinding,15,SELL,109.85,107.653,114.244,,PENDING,,0
2026-07-23,RBLBANK,Long Unwinding,15,SELL,355.85,348.733,370.08400000000006,,PENDING,,0
2026-07-23,IREDA,Long Unwinding,15,SELL,119.1,116.718,123.864,,PENDING,,0
2026-07-23,IEX,Long Unwinding,15,SELL,123.31,120.8438,128.2424,,PENDING,,0
2026-07-23,BSE,Long Unwinding,15,SELL,3642.6,3569.748,3788.304,,PENDING,,0
2026-07-23,SBICARD,Long Unwinding,15,SELL,622.85,610.393,647.764,,PENDING,,0
2026-07-23,SUZLON,Long Unwinding,15,SELL,52.92,51.8616,55.03680000000001,,PENDING,,0
2026-07-23,SAIL,Long Unwinding,15,SELL,161.58,158.3484,168.0432,,PENDING,,0
2026-07-23,MIDCPNIFTY,Long Unwinding,15,SELL,14622.05,14329.609,15206.932,,PENDING,,0
2026-07-23,INOXWIND,Long Unwinding,15,SELL,76.6,75.068,79.664,,PENDING,,0
2026-07-23,DELHIVERY,Long Unwinding,15,SELL,468.3,458.934,487.032,,PENDING,,0
2026-07-23,ANGELONE,Long Unwinding,15,SELL,312.25,306.005,324.74,,PENDING,,0
2026-07-23,PHOENIXLTD,Long Unwinding,15,SELL,2054.3,2013.214,2136.472,,PENDING,,0
2026-07-23,KFINTECH,Long Unwinding,15,SELL,880.0,862.4,915.2,,PENDING,,0
2026-07-23,LODHA,Long Unwinding,15,SELL,1161.0,1137.78,1207.44,,PENDING,,0
2026-07-23,TCS,Long Unwinding,15,SELL,2211.0,2166.78,2299.44,,PENDING,,0
2026-07-23,ABB,Long Unwinding,15,SELL,7521.5,7371.07,7822.360000000001,,PENDING,,0
2026-07-23,WAAREEENER,Long Unwinding,15,SELL,2694.3,2640.414,2802.072,,PENDING,,0
2026-07-23,HINDZINC,Long Unwinding,15,SELL,534.95,524.2510000000001,556.3480000000001,,PENDING,,0
2026-07-23,RECLTD,Long Unwinding,15,SELL,360.2,352.996,374.608,,PENDING,,0
2026-07-23,WIPRO,Long Unwinding,15,SELL,172.63,169.1774,179.5352,,PENDING,,0
2026-07-23,BHARATFORG,Long Unwinding,15,SELL,2198.8,2154.824,2286.7520000000004,,PENDING,,0
2026-07-23,MOTHERSON,Long Unwinding,15,SELL,143.85,140.97299999999998,149.60399999999998,,PENDING,,0
2026-07-23,LAURUSLABS,Long Unwinding,15,SELL,1579.2,1547.616,1642.3680000000002,,PENDING,,0
2026-07-23,KAYNES,Long Unwinding,15,SELL,3242.5,3177.65,3372.2000000000003,,PENDING,,0
2026-07-23,TRENT,Long Unwinding,15,SELL,2882.0,2824.36,2997.28,,PENDING,,0
2026-07-23,POWERINDIA,Long Unwinding,15,SELL,32115.0,31472.7,33399.6,,PENDING,,0
2026-07-23,DLF,Long Unwinding,15,SELL,646.1,633.178,671.9440000000001,,PENDING,,0
2026-07-23,LICI,Long Unwinding,15,SELL,423.55,415.079,440.492,,PENDING,,0
2026-07-23,JUBLFOOD,Long Unwinding,15,SELL,416.9,408.562,433.576,,PENDING,,0
2026-07-23,INFY,Long Unwinding,15,SELL,1053.0,1031.94,1095.12,,PENDING,,0
2026-07-23,ICICIGI,Long Unwinding,15,SELL,1584.6,1552.908,1647.984,,PENDING,,0
2026-07-23,SOLARINDS,Long Unwinding,15,SELL,18862.0,18484.76,19616.48,,PENDING,,0
2026-07-23,SIEMENS,Long Unwinding,15,SELL,3631.8,3559.164,3777.072,,PENDING,,0
2026-07-23,SONACOMS,Long Unwinding,15,SELL,724.7,710.206,753.6880000000001,,PENDING,,0
2026-07-23,MUTHOOTFIN,Long Unwinding,15,SELL,3043.3,2982.434,3165.032,,PENDING,,0
2026-07-23,HAVELLS,Long Unwinding,15,SELL,1204.6,1180.5079999999998,1252.784,,PENDING,,0
2026-07-23,TATAELXSI,Long Unwinding,15,SELL,3409.4,3341.212,3545.7760000000003,,PENDING,,0
2026-07-23,UNIONBANK,Long Unwinding,15,SELL,170.75,167.335,177.58,,PENDING,,0
2026-07-23,HCLTECH,Long Unwinding,15,SELL,1235.0,1210.3,1284.4,,PENDING,,0
2026-07-23,MANAPPURAM,Long Unwinding,15,SELL,350.2,343.196,364.208,,PENDING,,0
2026-07-23,NUVAMA,Long Unwinding,15,SELL,1880.5,1842.89,1955.72,,PENDING,,0
