File,Function_Group,Role,Similar_Files
execution_queue_controller.py,EXECUTION,MASTER_CANDIDATE,"daily_execution_controller.py,execution_speed_optimizer.py,final_execution_controller.py,hmme_activation_controller.py,production_master_controller.py,production_pipeline_controller.py"
execution_scheduler_manager.py,EXECUTION,MASTER_CANDIDATE,hmme_execution_manager.py
explainable_decision_engine.py,CORE,MASTER_CANDIDATE,signal_explanation_engine.py
feature_cache_manager.py,CORE,MASTER_CANDIDATE,"feature_engineering.py,feature_weight_manager.py"
feature_engineering.py,CORE,MASTER_CANDIDATE,feature_cache_manager.py
feature_governance_engine.py,CORE,MASTER_CANDIDATE,"performance_governance_engine.py,quality_governance_engine.py,yearly_performance_engine.py"
feature_weight_manager.py,CORE,MASTER_CANDIDATE,feature_cache_manager.py
final_execution_controller.py,EXECUTION,MASTER_CANDIDATE,"daily_execution_controller.py,execution_queue_controller.py,hmme_activation_controller.py,hmme_final_master_controller.py,production_automation_controller.py,runtime_validation_controller.py"
historical_dataset_manager.py,UNCLASSIFIED,MASTER_CANDIDATE,"historical_dataset_loader.py,historical_loader.py,historical_replay_manager.py,historical_statistics_builder.py,intraday_eod_manager.py,learning_dataset_manager.py"
historical_replay_controller.py,CONTROL,MASTER_CANDIDATE,"historical_loader.py,historical_replay_manager.py,historical_replay_validator.py"
historical_replay_manager.py,UNCLASSIFIED,MASTER_CANDIDATE,"historical_dataset_manager.py,historical_loader.py,historical_replay_controller.py,historical_replay_validator.py,historical_similarity_engine.py"
historical_similarity_engine.py,CORE,MASTER_CANDIDATE,
hmme_activation_controller.py,CONTROL,MASTER_CANDIDATE,"daily_execution_controller.py,enterprise_optimization_controller.py,execution_queue_controller.py,final_execution_controller.py,hmme_autonomous_master_controller.py,hmme_controller.py,hmme_enterprise_controller.py,hmme_final_master_controller.py,hmme_ntis_master_controller.py,hmme_operating_controller.py,production_automation_controller.py,runtime_validation_controller.py"
hmme_autonomous_master_controller.py,CONTROL,MASTER_CANDIDATE,"autonomous_learning_controller.py,hmme_activation_controller.py,hmme_enterprise_controller.py,hmme_final_master_controller.py,hmme_ntis_master_controller.py,hmme_operating_controller.py,production_master_controller.py"
hmme_controller.py,CONTROL,MASTER_CANDIDATE,"hmme_activation_controller.py,hmme_enterprise_controller.py,hmme_final_master_controller.py,hmme_ntis_master_controller.py,hmme_operating_controller.py"
hmme_engine.py,CORE,MASTER_CANDIDATE,"hmme_live_runner.py,hmme_master_engine.py,hmme_pipeline.py,hmme_runner.py,hmme_test_runner.py"
hmme_enterprise_controller.py,CONTROL,MASTER_CANDIDATE,"enterprise_intelligence_controller.py,enterprise_optimization_controller.py,hmme_activation_controller.py,hmme_autonomous_master_controller.py,hmme_controller.py,hmme_final_master_controller.py,hmme_ntis_master_controller.py,hmme_operating_controller.py"
hmme_execution_manager.py,EXECUTION,MASTER_CANDIDATE,"execution_scheduler_manager.py,hmme_execution_summary.py,hmme_output_manager.py,pipeline_execution_manager.py"
hmme_final_master_controller.py,CONTROL,MASTER_CANDIDATE,"final_execution_controller.py,hmme_activation_controller.py,hmme_autonomous_master_controller.py,hmme_controller.py,hmme_enterprise_controller.py,hmme_ntis_master_controller.py,hmme_operating_controller.py,production_master_controller.py"
hmme_master_engine.py,CORE,MASTER_CANDIDATE,hmme_engine.py
hmme_master_integration_tester.py,UNCLASSIFIED,MASTER_CANDIDATE,hmme_integration_validator.py
hmme_ntis_master_controller.py,CONTROL,MASTER_CANDIDATE,"hmme_activation_controller.py,hmme_autonomous_master_controller.py,hmme_controller.py,hmme_enterprise_controller.py,hmme_final_master_controller.py,hmme_operating_controller.py,production_master_controller.py"
hmme_operating_controller.py,CONTROL,MASTER_CANDIDATE,"hmme_activation_controller.py,hmme_autonomous_master_controller.py,hmme_controller.py,hmme_enterprise_controller.py,hmme_final_master_controller.py,hmme_ntis_master_controller.py,runtime_validation_controller.py"
hmme_output_manager.py,UNCLASSIFIED,MASTER_CANDIDATE,hmme_execution_manager.py
hmme_pipeline.py,CONTROL,MASTER_CANDIDATE,hmme_engine.py
intelligence_fusion_engine.py,CORE,MASTER_CANDIDATE,"decision_intelligence_engine.py,probability_fusion_engine.py"
intraday_eod_manager.py,UNCLASSIFIED,MASTER_CANDIDATE,historical_dataset_manager.py
large_data_performance_engine.py,CORE,MASTER_CANDIDATE,"matching_performance_engine.py,monthly_performance_engine.py,similarity_performance_config.py,yearly_performance_engine.py"
learning_checkpoint_manager.py,LEARNING,MASTER_CANDIDATE,"learning_dataset_manager.py,learning_report_generator.py,learning_repository_manager.py,learning_snapshot_manager.py"
learning_dataset_manager.py,LEARNING,MASTER_CANDIDATE,"historical_dataset_manager.py,learning_checkpoint_manager.py,learning_repository_manager.py,learning_snapshot_manager.py"
learning_repository_manager.py,MEMORY,MASTER_CANDIDATE,"learning_checkpoint_manager.py,learning_dataset_manager.py,learning_snapshot_manager.py,repository_backup_manager.py"
learning_snapshot_manager.py,LEARNING,MASTER_CANDIDATE,"learning_checkpoint_manager.py,learning_dataset_manager.py,learning_repository_manager.py"
matching_performance_engine.py,CORE,MASTER_CANDIDATE,"large_data_performance_engine.py,monthly_performance_engine.py,yearly_performance_engine.py"
monthly_performance_engine.py,CORE,MASTER_CANDIDATE,"hmme_performance_config.py,large_data_performance_engine.py,matching_performance_engine.py,model_performance_monitor.py,performance_governance_engine.py,similarity_performance_config.py,yearly_performance_engine.py"
outcome_calibration_engine.py,CORE,MASTER_CANDIDATE,"accuracy_calibration_engine.py,calibration_engine.py,outcome_comparison_service.py,outcome_validation_runner.py"
parameter_control_manager.py,UNCLASSIFIED,MASTER_CANDIDATE,
performance_governance_engine.py,CORE,MASTER_CANDIDATE,"feature_governance_engine.py,monthly_performance_engine.py,quality_governance_engine.py,yearly_performance_engine.py"
performance_report_manager.py,REPORT,MASTER_CANDIDATE,"performance_tracker.py,repository_performance_manager.py"
pipeline_execution_manager.py,EXECUTION,MASTER_CANDIDATE,"hmme_execution_manager.py,signal_explanation_manager.py"
prediction_accuracy_engine.py,CORE,MASTER_CANDIDATE,production_approval_engine.py
probability_correction_engine.py,CORE,MASTER_CANDIDATE,"probability_fusion_engine.py,probability_improvement_engine.py,probability_learning_engine.py,similarity_execution_engine.py,similarity_scoring_engine.py"
probability_engine_verification.py,CORE,MASTER_CANDIDATE,
probability_fusion_engine.py,CORE,MASTER_CANDIDATE,"calibration_engine.py,intelligence_fusion_engine.py,probability_adjustment_service.py,probability_correction_engine.py,probability_improvement_engine.py,probability_learning_bridge.py,probability_learning_engine.py,similarity_execution_engine.py"
probability_improvement_engine.py,CORE,MASTER_CANDIDATE,"probability_adjustment_service.py,probability_correction_engine.py,probability_fusion_engine.py,probability_learning_engine.py"
probability_learning_engine.py,CORE,MASTER_CANDIDATE,"probability_correction_engine.py,probability_fusion_engine.py,probability_improvement_engine.py,probability_learning_bridge.py,quality_governance_engine.py,similarity_scoring_engine.py"
production_access_manager.py,UNCLASSIFIED,MASTER_CANDIDATE,"production_decision_monitor.py,production_stability_manager.py,production_workflow_manager.py"
production_approval_engine.py,CORE,MASTER_CANDIDATE,"prediction_accuracy_engine.py,production_monitoring_engine.py"
production_automation_controller.py,CONTROL,MASTER_CANDIDATE,"enterprise_optimization_controller.py,hmme_activation_controller.py,production_master_controller.py,production_pipeline_controller.py,runtime_validation_controller.py"
production_master_controller.py,CONTROL,MASTER_CANDIDATE,"execution_queue_controller.py,hmme_autonomous_master_controller.py,hmme_final_master_controller.py,hmme_ntis_master_controller.py,production_automation_controller.py,production_pipeline_controller.py"
production_monitoring_engine.py,CORE,MASTER_CANDIDATE,"production_approval_engine.py,production_decision_monitor.py,production_health_monitor.py"
production_pipeline_controller.py,CONTROL,MASTER_CANDIDATE,"daily_pipeline_controller.py,execution_queue_controller.py,production_automation_controller.py,production_health_monitor.py,production_master_controller.py"
production_stability_manager.py,UNCLASSIFIED,MASTER_CANDIDATE,"production_access_manager.py,production_workflow_manager.py"
production_workflow_manager.py,CONTROL,MASTER_CANDIDATE,"production_access_manager.py,production_stability_manager.py"
quality_governance_engine.py,CORE,MASTER_CANDIDATE,"feature_governance_engine.py,performance_governance_engine.py,probability_learning_engine.py,yearly_performance_engine.py"
repository_backup_manager.py,MEMORY,MASTER_CANDIDATE,"learning_repository_manager.py,repository_performance_manager.py"
repository_performance_manager.py,MEMORY,MASTER_CANDIDATE,"historical_performance_analyzer.py,learning_performance_analyzer.py,monthly_performance_engine.py,performance_report_manager.py,repository_backup_manager.py,yearly_performance_engine.py"
runtime_validation_controller.py,DECISION,MASTER_CANDIDATE,"enterprise_optimization_controller.py,final_execution_controller.py,hmme_activation_controller.py,hmme_operating_controller.py,outcome_validation_runner.py,production_automation_controller.py"
signal_explanation_engine.py,CORE,MASTER_CANDIDATE,"calibration_engine.py,explainable_decision_engine.py,signal_explanation_manager.py,similarity_execution_engine.py"
signal_explanation_manager.py,UNCLASSIFIED,MASTER_CANDIDATE,"alert_notification_manager.py,historical_replay_manager.py,pipeline_execution_manager.py,signal_explanation_engine.py"
similarity_execution_engine.py,CORE,MASTER_CANDIDATE,"probability_correction_engine.py,probability_fusion_engine.py,signal_explanation_engine.py,similarity_execution_runner.py,similarity_scoring_engine.py"
similarity_scoring_engine.py,CORE,MASTER_CANDIDATE,"probability_correction_engine.py,probability_learning_engine.py,similarity_execution_engine.py,similarity_execution_runner.py,similarity_ranker.py"
similarity_threshold_manager.py,CORE,MASTER_CANDIDATE,"similarity_loader.py,similarity_ranker.py,similarity_report.py"
system_orchestration_engine.py,CORE,MASTER_CANDIDATE,
system_recovery_controller.py,CONTROL,MASTER_CANDIDATE,
validation_result_manager.py,DECISION,MASTER_CANDIDATE,
yearly_performance_engine.py,CORE,MASTER_CANDIDATE,"feature_governance_engine.py,hmme_performance_config.py,hmme_performance_monitor.py,large_data_performance_engine.py,matching_performance_engine.py,model_performance_monitor.py,monthly_performance_engine.py,performance_governance_engine.py,quality_governance_engine.py,similarity_performance_config.py"
