File,Proposed_Action,Size(Bytes)
eod_data_resolution_final_production_governance_service_refresh_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",125
eod_data_resolution_final_production_governance_service_replay_bridge_v17.py,"DATA_RESOLUTION,DATA_ADAPTER_CONNECTOR,MOVE_TO_RUNTIME_REVIEW",129
eod_data_resolution_final_production_governance_service_runtime_alert_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",130
eod_data_resolution_final_production_governance_service_runtime_audit_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",130
eod_data_resolution_final_production_governance_service_runtime_bridge_v17.py,"DATA_RESOLUTION,DATA_ADAPTER_CONNECTOR,MOVE_TO_RUNTIME_REVIEW",130
eod_data_resolution_final_production_governance_service_runtime_checkpoint_v17.py,"DATA_RESOLUTION,DATA_VALIDATION,MOVE_TO_RUNTIME_REVIEW",135
eod_data_resolution_final_production_governance_service_runtime_execution_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",134
eod_data_resolution_final_production_governance_service_runtime_history_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",132
eod_data_resolution_final_production_governance_service_runtime_manager_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",132
eod_data_resolution_final_production_governance_service_runtime_monitor_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",132
eod_data_resolution_final_production_governance_service_runtime_refresh_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",132
eod_data_resolution_final_production_governance_service_runtime_status_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",131
eod_data_resolution_final_production_governance_service_runtime_tracker_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",132
eod_data_resolution_final_production_governance_service_start_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",123
eod_data_resolution_final_production_governance_service_status_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",124
eod_data_resolution_final_production_governance_service_stop_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",122
eod_data_resolution_final_production_governance_status_v17.py,DATA_RESOLUTION,116
eod_data_resolution_final_production_governance_tracker_v17.py,DATA_RESOLUTION,117
eod_data_resolution_final_production_governance_validation_v17.py,"DATA_RESOLUTION,DATA_VALIDATION",126
eod_data_resolution_final_production_history_v17.py,DATA_RESOLUTION,109
eod_data_resolution_final_production_integration_checkpoint_v17.py,"DATA_RESOLUTION,DATA_VALIDATION",129
eod_data_resolution_final_production_integration_manager_v17.py,DATA_RESOLUTION,137
eod_data_resolution_final_production_metrics_v17.py,DATA_RESOLUTION,109
eod_data_resolution_final_production_monitor_bridge_v17.py,"DATA_RESOLUTION,DATA_ADAPTER_CONNECTOR,MOVE_TO_RUNTIME_REVIEW",121
eod_data_resolution_final_production_monitor_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",109
eod_data_resolution_final_production_replay_bridge_v17.py,"DATA_RESOLUTION,DATA_ADAPTER_CONNECTOR",119
eod_data_resolution_final_production_runtime_alert_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",110
eod_data_resolution_final_production_runtime_audit_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",110
eod_data_resolution_final_production_runtime_bridge_v17.py,"DATA_RESOLUTION,DATA_ADAPTER_CONNECTOR,MOVE_TO_RUNTIME_REVIEW",121
eod_data_resolution_final_production_runtime_checkpoint_v17.py,"DATA_RESOLUTION,DATA_VALIDATION,MOVE_TO_RUNTIME_REVIEW",125
eod_data_resolution_final_production_runtime_execution_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",120
eod_data_resolution_final_production_runtime_history_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",116
eod_data_resolution_final_production_runtime_manager_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",123
eod_data_resolution_final_production_runtime_monitor_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",116
eod_data_resolution_final_production_runtime_refresh_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",116
eod_data_resolution_final_production_runtime_status_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",113
eod_data_resolution_final_production_runtime_tracker_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",114
eod_data_resolution_final_production_runtime_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",105
eod_data_resolution_final_production_service_alert_bridge_v17.py,"DATA_RESOLUTION,DATA_ADAPTER_CONNECTOR,MOVE_TO_RUNTIME_REVIEW",124
eod_data_resolution_final_production_service_alert_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",110
eod_data_resolution_final_production_service_audit_bridge_v17.py,"DATA_RESOLUTION,DATA_ADAPTER_CONNECTOR,MOVE_TO_RUNTIME_REVIEW",124
eod_data_resolution_final_production_service_audit_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",110
eod_data_resolution_final_production_service_bridge_v17.py,"DATA_RESOLUTION,DATA_ADAPTER_CONNECTOR,MOVE_TO_RUNTIME_REVIEW",121
eod_data_resolution_final_production_service_checkpoint_v17.py,"DATA_RESOLUTION,DATA_VALIDATION,MOVE_TO_RUNTIME_REVIEW",125
eod_data_resolution_final_production_service_control_bridge_v17.py,"DATA_RESOLUTION,DATA_ADAPTER_CONNECTOR,MOVE_TO_RUNTIME_REVIEW",128
eod_data_resolution_final_production_service_dashboard_bridge_v17.py,"DATA_RESOLUTION,DATA_ADAPTER_CONNECTOR,MOVE_TO_RUNTIME_REVIEW",132
eod_data_resolution_final_production_service_data_bridge_v17.py,"DATA_RESOLUTION,DATA_ADAPTER_CONNECTOR,MOVE_TO_RUNTIME_REVIEW",122
eod_data_resolution_final_production_service_execution_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",120
eod_data_resolution_final_production_service_integration_checkpoint_v17.py,"DATA_RESOLUTION,DATA_VALIDATION,MOVE_TO_RUNTIME_REVIEW",136
eod_data_resolution_final_production_service_integration_manager_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",133
eod_data_resolution_final_production_service_manager_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",123
eod_data_resolution_final_production_service_monitor_bridge_v17.py,"DATA_RESOLUTION,DATA_ADAPTER_CONNECTOR,MOVE_TO_RUNTIME_REVIEW",128
eod_data_resolution_final_production_service_monitor_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",116
eod_data_resolution_final_production_service_refresh_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",116
eod_data_resolution_final_production_service_replay_bridge_v17.py,"DATA_RESOLUTION,DATA_ADAPTER_CONNECTOR,MOVE_TO_RUNTIME_REVIEW",126
eod_data_resolution_final_production_service_runtime_bridge_v17.py,"DATA_RESOLUTION,DATA_ADAPTER_CONNECTOR,MOVE_TO_RUNTIME_REVIEW",128
eod_data_resolution_final_production_service_start_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",110
eod_data_resolution_final_production_service_status_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",113
eod_data_resolution_final_production_service_stop_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",107
eod_data_resolution_final_production_status_v17.py,DATA_RESOLUTION,106
eod_data_resolution_final_production_validation_v17.py,"DATA_RESOLUTION,DATA_VALIDATION",116
eod_data_resolution_final_refresh_control_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",114
eod_data_resolution_final_replay_bridge_v17.py,"DATA_RESOLUTION,DATA_ADAPTER_CONNECTOR",110
eod_data_resolution_final_replay_checker_v17.py,"DATA_RESOLUTION,DATA_VALIDATION",109
eod_data_resolution_final_report_checker_v17.py,"DATA_RESOLUTION,DATA_VALIDATION",109
eod_data_resolution_final_runtime_alert_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",100
eod_data_resolution_final_runtime_audit_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",100
eod_data_resolution_final_runtime_bridge_v17.py,"DATA_RESOLUTION,DATA_ADAPTER_CONNECTOR,MOVE_TO_RUNTIME_REVIEW",112
eod_data_resolution_final_runtime_checkpoint_v17.py,"DATA_RESOLUTION,DATA_VALIDATION,MOVE_TO_RUNTIME_REVIEW",115
eod_data_resolution_final_runtime_control_manager_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",121
eod_data_resolution_final_runtime_execution_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",110
eod_data_resolution_final_runtime_history_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",106
eod_data_resolution_final_runtime_monitor_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",106
eod_data_resolution_final_runtime_refresh_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",106
eod_data_resolution_final_runtime_status_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",103
eod_data_resolution_final_runtime_tracker_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",104
eod_data_resolution_final_service_alert_bridge_v17.py,"DATA_RESOLUTION,DATA_ADAPTER_CONNECTOR,MOVE_TO_RUNTIME_REVIEW",114
eod_data_resolution_final_service_alert_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",100
eod_data_resolution_final_service_audit_bridge_v17.py,"DATA_RESOLUTION,DATA_ADAPTER_CONNECTOR,MOVE_TO_RUNTIME_REVIEW",114
eod_data_resolution_final_service_audit_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",100
eod_data_resolution_final_service_checkpoint_v17.py,"DATA_RESOLUTION,DATA_VALIDATION,MOVE_TO_RUNTIME_REVIEW",115
eod_data_resolution_final_service_control_manager_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",121
eod_data_resolution_final_service_dashboard_bridge_v17.py,"DATA_RESOLUTION,DATA_ADAPTER_CONNECTOR,MOVE_TO_RUNTIME_REVIEW",122
eod_data_resolution_final_service_data_bridge_v17.py,"DATA_RESOLUTION,DATA_ADAPTER_CONNECTOR,MOVE_TO_RUNTIME_REVIEW",112
eod_data_resolution_final_service_execution_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",110
eod_data_resolution_final_service_integration_checkpoint_v17.py,"DATA_RESOLUTION,DATA_VALIDATION,MOVE_TO_RUNTIME_REVIEW",126
eod_data_resolution_final_service_integration_control_manager_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",136
eod_data_resolution_final_service_monitor_bridge_v17.py,"DATA_RESOLUTION,DATA_ADAPTER_CONNECTOR,MOVE_TO_RUNTIME_REVIEW",118
eod_data_resolution_final_service_monitor_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",106
eod_data_resolution_final_service_refresh_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",106
eod_data_resolution_final_service_replay_bridge_v17.py,"DATA_RESOLUTION,DATA_ADAPTER_CONNECTOR,MOVE_TO_RUNTIME_REVIEW",116
eod_data_resolution_final_service_runtime_bridge_v17.py,"DATA_RESOLUTION,DATA_ADAPTER_CONNECTOR,MOVE_TO_RUNTIME_REVIEW",118
eod_data_resolution_final_service_start_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",100
eod_data_resolution_final_service_status_bridge_v17.py,"DATA_RESOLUTION,DATA_ADAPTER_CONNECTOR,MOVE_TO_RUNTIME_REVIEW",116
eod_data_resolution_final_service_status_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",103
eod_data_resolution_final_service_stop_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",97
eod_data_resolution_final_snapshot_bridge_v17.py,"DATA_RESOLUTION,DATA_ADAPTER_CONNECTOR",114
eod_data_resolution_final_snapshot_checker_v17.py,"DATA_RESOLUTION,DATA_VALIDATION",113
eod_data_resolution_final_status_bridge_v17.py,"DATA_RESOLUTION,DATA_ADAPTER_CONNECTOR",110
eod_data_resolution_final_status_control_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",111
eod_data_resolution_final_validation_manager_v17.py,"DATA_RESOLUTION,DATA_VALIDATION",120
eod_data_resolution_history_manager_v17.py,DATA_RESOLUTION,102
eod_data_resolution_input_output_tracker_v17.py,DATA_RESOLUTION,118
eod_data_resolution_loader_v17.py,"DATA_INGESTION,DATA_RESOLUTION",90
eod_data_resolution_migration_adapter_v17.py,"DATA_RESOLUTION,DATA_ADAPTER_CONNECTOR,ARCHIVE_REVIEW",597
eod_data_resolution_missing_data_view_v17.py,DATA_RESOLUTION,110
eod_data_resolution_operational_checkpoint_v17.py,"DATA_RESOLUTION,DATA_VALIDATION",115
eod_data_resolution_operational_history_v17.py,DATA_RESOLUTION,106
eod_data_resolution_operational_manager_v17.py,DATA_RESOLUTION,109
eod_data_resolution_processing_alert_v17.py,DATA_RESOLUTION,110
eod_data_resolution_processing_monitor_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",116
eod_data_resolution_production_alert_v17.py,DATA_RESOLUTION,110
eod_data_resolution_production_checkpoint_v17.py,"DATA_RESOLUTION,DATA_VALIDATION",114
